iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.0100,11.6000,5,1,4,2,82,11,10.8000
2,bandit,8.9370,11.6000,6,1,4,29,4,62,10.8000
3,bandit,7.9480,11.1000,6,1,6,11,67,15,10.8000
4,bandit,8.1020,13.4000,4,1,7,61,6,25,10.8000
5,bandit,7.7150,11.9000,0,0,9,61,3,27,10.8000
6,bandit,7.3170,11.2000,0,0,4,25,6,65,10.8000
7,bandit,7.9070,12.5000,2,1,5,67,1,26,10.8000
8,bandit,7.3130,14.3000,16,3,19,64,2,12,10.8000
9,bandit,7.3450,12.1000,4,1,17,58,3,21,10.8000
10,bandit,7.6640,11.6000,6,2,2,28,7,61,10.8000
