iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,9.1430,12.9000,5,1,49,49,0,1,10.0000
2,bandit,8.5940,12.0000,22,4,80,15,0,1,10.1000
3,bandit,9.2230,11.4000,46,8,47,38,0,7,10.6000
4,bandit,9.1840,10.9000,98,19,47,27,0,7,10.6000
5,bandit,8.6780,11.5000,26,5,77,16,0,2,10.6000
6,bandit,9.6320,12.3000,0,0,38,52,0,10,10.6000
7,bandit,9.5480,12.1000,4,1,41,46,0,12,10.6000
8,bandit,9.6250,12.8000,4,1,42,52,0,5,10.6000
9,bandit,9.2640,12.5000,6,1,50,42,0,7,10.6000
10,bandit,9.4810,11.6000,4,1,49,46,1,3,10.6000
