iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,7.9760,11.8000,0,0,7,93,0,0,6.4000
2,bandit,7.8100,10.9000,0,0,11,86,1,2,6.4000
3,bandit,7.9210,11.1000,4,1,8,88,0,3,6.5000
4,bandit,7.7870,10.8000,4,1,6,88,0,5,7.0000
5,bandit,7.8490,11.5000,6,1,4,91,1,3,7.0000
6,bandit,8.0840,11.0000,0,0,5,91,1,3,7.0000
7,bandit,7.8710,11.5000,0,0,8,88,1,3,7.0000
8,bandit,7.0690,9.6000,0,0,23,62,2,13,7.0000
9,bandit,7.8640,10.6000,26,5,7,83,0,5,7.0000
10,bandit,7.7880,10.5000,34,7,7,82,0,4,7.1000
