iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,9.1760,12.5000,70,17,14,69,0,0,9.2000
2,bandit,9.1160,13.2000,52,12,14,74,0,0,9.2000
3,bandit,8.9380,12.6000,102,23,19,57,1,0,9.7000
4,bandit,8.7970,12.5000,60,16,15,69,0,0,9.7000
5,bandit,8.8040,11.6000,148,30,19,51,0,0,9.7000
6,bandit,9.3280,11.3000,76,15,11,73,1,0,9.7000
7,bandit,8.8920,14.4000,98,22,26,52,0,0,9.8000
8,bandit,9.2380,13.2000,100,23,17,58,2,0,10.5000
9,bandit,9.0590,11.3000,102,24,14,60,2,0,10.5000
10,bandit,8.9430,12.4000,105,23,22,54,1,0,10.5000
