iter,strategy,rv_mean,rv_max,n_admitted,n_admitted_mols,fail_rv,fail_rq,fail_rs,fail_rsim,top_ds
1,bandit,8.2980,10.0000,278,59,23,9,4,5,9.9000
2,bandit,7.9900,10.0000,263,55,33,1,6,5,10.0000
3,bandit,8.5510,12.2000,258,55,19,17,2,7,10.0000
4,bandit,8.5190,11.4000,264,53,22,16,5,4,10.6000
5,bandit,8.3780,12.1000,224,49,29,13,5,4,10.6000
6,bandit,8.2030,10.7000,204,41,32,5,5,17,10.6000
7,bandit,8.3150,11.4000,241,48,29,9,5,9,10.6000
8,bandit,10.1300,13.0000,164,35,0,56,6,3,10.6000
9,bandit,10.2240,13.9000,78,17,1,64,7,11,10.6000
10,bandit,9.9170,12.5000,125,29,5,55,6,5,10.6000
